Course ID,Department,Course,Section,Course Title,Name,Schedule,LMT/ENR/WL,LMT,ENR,WL,Location,Yr,Trm,CRDTS
AC 121 01,AC,121,1,Principles of Accounting I,"Thomas, R",M W F 7:45AM-8:50AM,45/45/0,45,45,0,WBC 116,2023-24,FA,1
AC 121 02,AC,121,2,Principles of Accounting I,"Pilcher, A",M W F 2:30PM-3:35PM,45/41/0,45,41,0,WBC 116,2023-24,FA,1
AC 121 03,AC,121,3,Principles of Accounting I,"Pilcher, A",,45/31/0,45,31,0,,2023-24,FA,1
AC 122 01,AC,122,1,Principles of Accounting II,"Pilcher, A",M W F 12:00PM-1:05PM,45/12/0,45,12,0,WBC 116,2023-24,FA,1
AC 321 01,AC,321,1,Intermediate Accounting I,"Thomas, R",M W F 9:00AM-10:05AM,28/21/0,28,21,0,WBC 215,2023-24,FA,1
AC 423 01,AC,423,1,Income Tax Accounting I,"Thomas, R",M W F 10:45AM-11:50AM,25/10/0,25,10,0,WBC 217,2023-24,FA,1
AC 427 01,AC,427,1,Senior Seminar in Accounting,"Pilcher, A",M W 1:15PM-2:20PM,24/8/0,24,8,0,WBC 116,2023-24,FA,0.5
ART 105 01,ART,105,1,Design I,"Fedeler, B",TH 8:30AM-11:10AM,18/18/0,18,18,0,FAC 114D,2023-24,FA,1
ART 108 01,ART,108,1,Graphic Design,"Elkashif, M",M W F 10:45AM-11:50AM,20/19/0,20,19,0,FAC 114C,2023-24,FA,1
ART 111 01,ART,111,1,Drawing,"Fedeler, B",T H 1:00PM-3:35PM,16/16/0,16,16,0,FAC 114E,2023-24,FA,1
ART 150 01,ART,150,1,"20th-Century Art, Media, & Design","Knox, R",M W F 9:00AM-10:05AM,25/14/0,25,14,0,FAC 114J,2023-24,FA,1
ART 208 01,ART,208,1,Photography I,"Elkashif, M",T H 1:00PM-2:40PM,20/17/1,20,17,1,FAC 114C,2023-24,FA,1
ART 210 01,ART,210,1,Communication Design II,"Elkashif, M",M W F 1:15PM-2:20PM,20/10/0,20,10,0,FAC 114C,2023-24,FA,1
ART 461 01,ART,461,1,Seminar in Art: Research,"Fedeler, B",T 6:30PM-8:10PM,10/7/00,10,7,0,FAC 114J,2023-24,FA,0.5
BA 331 01,BA,331,1,Business Law I,"Luhring, L",MWF 12:00PM-1:05PM,40/43/1,40,43,1,WBC 214,2023-24,FA,1
BA 334 01,BA,334,1,Business Finance,"Ross, C",M W F 9:00AM-10:05AM,36/32/0,36,32,0,GRO 132,2023-24,FA,1
BA 334 02,BA,334,2,Business Finance,"Ross, C",T H 9:35AM-11:15AM,36/35/1,36,35,1,WBC 215,2023-24,FA,1
BA 345 01,BA,345,1,Principles of Management,"Gonnerman, M",M W F 1:15PM-2:20PM,32/32/2,32,32,2,WBC 117,2023-24,FA,1
BA 345 02,BA,345,2,Principles of Management,"Meyeraan, S",T H 9:35AM-11:15AM,32/16/0,32,16,0,WBC 116,2023-24,FA,1
BA 353 01,BA,353,1,Principles of Marketing,"Gonnerman, M",M W F 7:45AM-8:50AM,32/20/0,32,20,0,WBC 117,2023-24,FA,1
BA 353 02,BA,353,2,Principles of Marketing,"Gonnerman, M",M W F 10:45AM-11:50AM,32/32/0,32,32,0,WBC 117,2023-24,FA,1
BA 361 01,BA,361,1,Operations Management,"Mahmoud, M",M W F 2:30PM-3:35PM,25/26/0,25,26,0,SC 247,2023-24,FA,1
BA 362 01,BA,362,1,Supply Chain Management,"Pilcher, A",M W F 9:00AM-10:05AM,25/16/0,25,16,0,WBC 217,2023-24,FA,1
BA 424 01,BA,424,1,Consumer Behavior,"Meyeraan, S",MWF 9:00AM-10:05AM,30/25/0,30,25,0,WBC 116,2023-24,FA,1
BA 444 01,BA,444,1,Marketing Research,"Bernard, A",TH 1:00PM-2:40PM,28/13/0,28,13,0,WBC 117,2023-24,FA,1
BA 447 01,BA,447,1,Entrepreneurship,"Bernard, A",M W F 9:00AM-10:05AM,35/14/0,35,14,0,WBC 117,2023-24,FA,1
BA 449 01,BA,449,1,Organizational Leadership,"Gonnerman, M",M W F 12:00PM-1:05PM,32/16/0,32,16,0,WBC 217,2023-24,FA,1
BA 460 01,BA,460,1,Senior Seminar in Business,"Bernard, A",T H 9:35AM-11:15AM,22/23/0,22,23,0,WBC 117,2023-24,FA,1
BA 460 02,BA,460,2,Senior Seminar in Business,"Bernard, A",T H 7:45AM-9:25AM,22/15/0,22,15,0,WBC 117,2023-24,FA,1
BI 117 01,BI,117,1,Environmental Biology,"McCullough, D",M WF 10:45AM-11:50AM,24/24/0,24,24,0,SC 145,2023-24,FA,1
BI 117 01,BI,117,1,Environmental Biology Lab,"McCullough, D",T 9:35AM-11:15AM,24/24/0,24,24,0,SC 145,2023-24,FA,0
BI 130 01,BI,130,1,Drugs and Personal Health,"Place, A",M F 1:15PM-2:55PM,24/24/2,24,24,2,,2023-24,FA,1
BI 130 01,BI,130,1,Drugs and Pers Health Lab,"Berns, E",W 1:15PM-2:55PM,24/24/2,24,24,2,SC 034,2023-24,FA,0
BI 151 01,BI,151,1,"Biology I: Cells, Genes, Evol, Div","Coleman, S",M W F 9:00AM-10:05AM,84/81/0,84,81,0,SC 102,2023-24,FA,1
BI 151 01,BI,151,1,"Bio I: Cells, Genes, Evol, Div Lab","Berns, E",T 7:45AM-11:00AM,24/24/0,24,24,0,SC 126,2023-24,FA,0
BI 151 02,BI,151,2,"Biology I: Cells, Genes, Evol, Div","Toering Peters, S",M W F 10:45AM-11:50AM,84/80/0,84,80,0,SC 102,2023-24,FA,1
BI 151 02,BI,151,2,"Bio I: Cells, Genes, Evol, Div Lab","Karki, S",T 1:00PM-4:15PM,24/19/0,24,19,0,SC 126,2023-24,FA,0
BI 151 03,BI,151,3,"Bio I: Cells, Genes, Evol, Div Lab","Karki, S",H 7:45AM-11:00AM,24/24/0,24,24,0,SC 126,2023-24,FA,0
BI 151 04,BI,151,4,"Bio I: Cells, Genes, Evol, Div Lab","Berns, E",H 7:45AM-11:00AM,24/25/0,24,25,0,SC 034,2023-24,FA,0
BI 151 05,BI,151,5,"Bio I: Cells, Genes, Evol, Div Lab","Davidson, C",H 1:00PM-4:15PM,24/24/0,24,24,0,SC 034,2023-24,FA,0
BI 151 06,BI,151,6,"Bio I: Cells, Genes, Evol, Div Lab","Toering Peters, S",H 1:00PM-4:15PM,24/22/0,24,22,0,SC 126,2023-24,FA,0
BI 151 07,BI,151,7,"Bio I: Cells, Genes, Evol, Div Lab","Coleman, S",T 7:45AM-11:00AM,24/23/0,24,23,0,SC 034,2023-24,FA,0
BI 209 01,BI,209,1,Ecology,"Karki, S",M W F 2:30PM-3:35PM,24/10/0,24,10,0,SC 145,2023-24,FA,1
BI 209 01,BI,209,1,Ecology Lab,"Karki, S",H 1:00PM-4:15PM,24/10/0,24,10,0,SC 145,2023-24,FA,0
BI 211 01,BI,211,1,Genetics,"Coleman, S",MWF 1:15PM-2:20PM,24/24/0,24,24,0,SC 102,2023-24,FA,1
BI 211 01,BI,211,1,Genetics Lab,"Coleman, S",T H 1:00PM-2:40PM,24/24/0,24,24,0,SC 024,2023-24,FA,0
BI 221 01,BI,221,1,Cell Biology,"Davidson, C",M W F 1:15PM-2:20PM,20/17/0,20,17,0,SC 244,2023-24,FA,1
BI 221 01,BI,221,1,Cell Biology Lab,"Davidson, C",T H 9:35AM-11:15AM,20/17/0,20,17,0,SC 024,2023-24,FA,0
BI 304 01,BI,304,1,Developmental Biology,"Toering Peters, S",M W F 9:00AM-10:05AM,24/13/0,24,13,0,SC 245,2023-24,FA,1
BI 304 01,BI,304,1,Developmental Biology Lab,"Toering Peters, S",T 7:45AM-11:00AM,24/13/0,24,13,0,SC 104,2023-24,FA,0
BI 317 01,BI,317,1,Human Anatomy,"Mommer, B",M W F 2:30PM-3:35PM,48/46/0,48,46,0,SC 102,2023-24,FA,1
BI 317 01,BI,317,1,Human Anatomy Lab 1,"Mommer, B",T 1:00PM-4:15PM,24/24/0,24,24,0,SC 030,2023-24,FA,0
BI 317 02,BI,317,2,Human Anatomy Lab 2,"Mommer, B",H 7:45AM-11:00AM,24/22/0,24,22,0,SC 030,2023-24,FA,0
BI 440 01,BI,440,1,Teaching Practicum in Biology,"Horrigan, J",,10/5/00,10,5,0,,2023-24,FA,0.25
BI 455 01,BI,455,1,Methods of Biological Research,"Davidson, C",T 6:30PM-7:35PM,32/21/0,32,21,0,SC 134,2023-24,FA,0.5
BI 461 01,BI,461,1,Science Seminar,"Mommer, B",MW 10:45AM-11:50AM,25/12/0,25,12,0,SC 041,2023-24,FA,0.5
CCJ 201 01,CCJ,201,1,Intro Criminology/Criminal Justice,"McQueen, J",M W F 12:00PM-1:05PM,30/27/0,30,27,0,W 2240,2023-24,FA,1
CCJ 309 01,CCJ,309,1,Juvenile Justice,"McQueen, J",M W F 2:30PM-3:35PM,20/16/0,20,16,0,LH 201,2023-24,FA,1
CH 110 01,CH,110,1,Chemistry of Ordinary Things,"Bechtel, M",M W F 9:00AM-10:05AM,24/20/0,24,20,0,SC 128,2023-24,FA,1
CH 110 01,CH,110,1,Chemistry of Ordinary Things Lab 1,"Bechtel, M",T 7:45AM-9:25AM,24/20/0,24,20,0,SC 128,2023-24,FA,0
CH 110 02,CH,110,2,Chemistry of Ordinary Things,"Bechtel, M",M W F 12:00PM-1:05PM,24/19/0,24,19,0,SC 128,2023-24,FA,1
CH 110 02,CH,110,2,Chemistry of Ordinary Things Lab 2,"Bechtel, M",T 9:35AM-11:15AM,24/19/0,24,19,0,SC 128,2023-24,FA,0
CH 113 01,CH,113,1,Principles of Chemistry I,"DeVries, C",M WF 7:45AM-8:50AM,56/61/0,56,61,0,SC 102,2023-24,FA,1
CH 113 01,CH,113,1,Principles of Chemistry I Lab 1,"Stephens, N",T 8:30AM-11:15AM,24/24/0,24,24,0,SC 202,2023-24,FA,0
CH 113 02,CH,113,2,Principles of Chemistry I,"Stephens, N",M W F 9:00AM-10:05AM,58/53/0,58,53,0,SC 134,2023-24,FA,1
CH 113 02,CH,113,2,Principles of Chemistry I Lab 2,"Schumacher, D",T 1:00PM-3:45PM,24/21/0,24,21,0,SC 202,2023-24,FA,0
CH 113 03,CH,113,3,Principles of Chemistry I,"Zart, L",M W F 10:45AM-11:50AM,58/53/0,58,53,0,SC 134,2023-24,FA,1
CH 113 03,CH,113,3,Principles of Chemistry I Lab 3,"Schumacher, D",W 2:30PM-5:15PM,24/12/0,24,12,0,SC 202,2023-24,FA,0
CH 113 04,CH,113,4,Principles of Chemistry I Lab 4,"Schumacher, D",W 6:45PM-9:30PM,24/21/0,24,21,0,SC 202,2023-24,FA,0
CH 113 05,CH,113,5,Principles of Chemistry I Lab 5,"DeVries, C",H 8:30AM-11:15AM,24/24/0,24,24,0,SC 202,2023-24,FA,0
CH 113 06,CH,113,6,Principles of Chemistry I Lab 6,"DeVries, C",H 1:00PM-3:45PM,24/24/0,24,24,0,SC 202,2023-24,FA,0
CH 113 07,CH,113,7,Principles of Chemistry I Lab 7,"Schumacher, D",M 7:00PM-9:45PM,24/21/0,24,21,0,SC 202,2023-24,FA,0
CH 113 08,CH,113,8,Principles of Chemistry I Lab 8,"Schumacher, D",M 2:30PM-5:15PM,24/20/0,24,20,0,SC 202,2023-24,FA,0
CH 160 01,CH,160,1,Introduction to Biochemistry,"Ellerbroek, S",M W F 2:30PM-3:35PM,36/11/0,36,11,0,SC 134,2023-24,FA,1
CH 211 01,CH,211,1,Organic Chemistry I,"Zart, L",MWF 12:00PM-1:05PM,72/49/0,72,49,0,SC 102,2023-24,FA,1
CH 211 01,CH,211,1,Organic Chemistry I Lab 1,"Zart, L",T 7:45AM-11:15AM,18/17/0,18,17,0,SC 226,2023-24,FA,0
CH 211 02,CH,211,2,Organic Chemistry I Lab 2,"Zart, L",T 1:00PM-4:30PM,18/10/0,18,10,0,SC 226,2023-24,FA,0
CH 211 03,CH,211,3,Organic Chemistry I Lab 3,"Durrwachter, J",H 7:45AM-11:15AM,18/14/0,18,14,0,SC 226,2023-24,FA,0
CH 211 04,CH,211,4,Organic Chemistry I Lab 4,"Durrwachter, J",H 1:00PM-4:30PM,18/8/0,18,8,0,SC 226,2023-24,FA,0
CH 217 01,CH,217,1,Analytical Chemistry,"Stephens, N",M W F 7:45AM-8:50AM,36/15/0,36,15,0,SC 134,2023-24,FA,1
CH 217 01,CH,217,1,Analytical Chemistry Lab 1,"Stephens, N",T 1:00PM-3:45PM,18/6/0,18,6,0,SC 230,2023-24,FA,0
CH 217 02,CH,217,2,Analytical Chemistry Lab 2,"Stephens, N",H 1:00PM-3:45PM,18/9/0,18,9,0,SC 230,2023-24,FA,0
CH 315 01,CH,315,1,Quantum Chemistry,"DeVries, C",M W F 2:30PM-3:35PM,18/6/0,18,6,0,SC 214,2023-24,FA,1
CH 315 01,CH,315,1,Quantum Chemistry Lab,"DeVries, C",T 1:00PM-3:45PM,18/6/0,18,6,0,SC 249,2023-24,FA,0
CH 325 01,CH,325,1,Biochemistry,"Ellerbroek, S",MWF 1:15PM-2:20PM,36/40/0,36,40,0,SC 134,2023-24,FA,1
CH 325 01,CH,325,1,Biochemistry Lab 1,"Ellerbroek, S",H 8:00AM-10:45AM,18/19/0,18,19,0,SC 110,2023-24,FA,0
CH 325 02,CH,325,2,Biochemistry Lab 2,"Ellerbroek, S",H 1:00PM-3:45PM,18/21/0,18,21,0,SC 110,2023-24,FA,0
CH 455 01,CH,455,1,Methods of Biochemical Research,"Ellerbroek, S",T 6:30PM-7:35PM,8/11/00,8,11,0,SC 141,2023-24,FA,0.5
COM 100 01,COM,100,1,Introduction to Communication,"Ohrt, P",T H 9:35AM-11:15AM,50/30/0,50,30,0,SC 102,2023-24,FA,1
COM 112 10,COM,112,10,Oral Communication,"Ohrt, P",M W F 9:00AM-10:05AM,25/24/0,25,24,0,MC 134,2023-24,FA,0.5
COM 112 20,COM,112,20,Oral Communication,"Ohrt, P",M W F 9:00AM-10:05AM,25/11/0,25,11,0,MC 134,2023-24,FA,0.5
COM 112 21,COM,112,21,Oral Communication,"Johnson, R",M W F 2:30PM-3:35PM,25/25/1,25,25,1,MC 225,2023-24,FA,0.5
COM 123 01,COM,123,1,News Practicum,"Johnson, R",,99/3/0,99,3,0,,2023-24,FA,0.25
COM 124 01,COM,124,1,Film Practicum,"Johnson, R",,99/6/0,99,6,0,,2023-24,FA,0.25
COM 126 01,COM,126,1,Radio Practicum,"Ohrt, P",,99/7/0,99,7,0,,2023-24,FA,0.25
COM 127 01,COM,127,1,Organizational & PR Practicum,"Pier, P",,99/8/0,99,8,0,,2023-24,FA,0.25
COM 129 01,COM,129,1,Sports Media Practicum,"Pier, P",,99/5/0,99,5,0,,2023-24,FA,0.25
COM 147 01,COM,147,1,"Sports, Media and Society","Johnson, R",M W F 9:00AM-10:05AM,25/18/0,25,18,0,MC 225,2023-24,FA,1
COM 211 01,COM,211,1,Video Production,"Johnson, R",M W F 10:45AM-11:50AM,16/7/0,16,7,0,MC 133,2023-24,FA,1
COM 305 01,COM,305,1,Print Journalism,"Ohrt, P",M W F 2:30PM-3:35PM,18/7/0,18,7,0,MC 133,2023-24,FA,1
COM 320 01,COM,320,1,Digital Production I,"Johnson, R",T H 9:35AM-11:15AM,16/10/0,16,10,0,MC 134,2023-24,FA,1
COM 346 01,COM,346,1,Organizational/PR Writing Technique,"Pier, P",T H 1:00PM-2:40PM,24/10/0,24,10,0,MC 225,2023-24,FA,1
COM 355 01,COM,355,1,Persuasion,"Pier, P",M W F 1:15PM-2:20PM,16/15/0,16,15,0,MC 225,2023-24,FA,1
CS 110 01,CS,110,1,Introduction to Information Systems,"Hamilton, P",T H 9:35AM-11:15AM,34/33/0,34,33,0,SC 247,2023-24,FA,1
CS 120 01,CS,120,1,Intro to Computers and Programming,"Letsche, T",M W F 7:45AM-8:50AM,34/17/0,34,17,0,SC 345,2023-24,FA,1
CS 120 02,CS,120,2,Intro to Computers and Programming,"Zelle, J",M W F 9:00AM-10:05AM,34/15/0,34,15,0,SC 345,2023-24,FA,1
CS 230 01,CS,230,1,Organization of Prog Lang,"Zelle, J",M W F 12:00PM-1:05PM,34/18/0,34,18,0,SC 345,2023-24,FA,1
CS 250 01,CS,250,1,Systems Analysis,"Letsche, T",M WF 10:45AM-11:50AM,34/15/0,34,15,0,SC 345,2023-24,FA,1
CS 385 01,CS,385,1,Concurrent Systems Fundamentals,"Letsche, T",T H 1:00PM-2:40PM,34/19/0,34,19,0,SC 345,2023-24,FA,1
EC 117 01,EC,117,1,Principles of Macroeconomics,"Quaicoe, N",M W F 9:00AM-10:05AM,45/44/0,45,44,0,WBC 214,2023-24,FA,1
EC 117 02,EC,117,2,Principles of Macroeconomics,"Ross, C",M W F 12:00PM-1:05PM,45/43/0,45,43,0,WBC 117,2023-24,FA,1
EC 118 02,EC,118,2,Principles of Microeconomics,"Quaicoe, N",T H 9:35AM-11:15AM,45/31/0,45,31,0,WBC 214,2023-24,FA,1
EC 342 01,EC,342,1,Financial Markets and Modern Money,"Quaicoe, N",M W F 10:45AM-11:50AM,40/25/0,40,25,0,WBC 116,2023-24,FA,1
EC 401 01,EC,401,1,Econometrics,"Quaicoe, N",M W F 12:00PM-1:05PM,20/17/0,20,17,0,WBC 215,2023-24,FA,1
EC 461 01,EC,461,1,Senior Thesis I,"Quaicoe, N",T 1:00PM-2:40PM,18/12/0,18,12,0,WBC 215,2023-24,FA,0.5
ED 100 01,ED,100,1,Foundations of American Education,"Zittergruen, G",MWF 9:00AM-10:05AM,30/27/0,30,27,0,LIB CLAB,2023-24,FA,1
ED 100 02,ED,100,2,Foundations of American Education,"Zittergruen, G",MWF 12:00PM-1:05PM,30/29/0,30,29,0,LIB CLAB,2023-24,FA,1
ED 181 01,ED,181,1,Field Experience in Education,"Zittergruen, G",,60/58/0,60,58,0,,2023-24,FA,0
ED 212 01,ED,212,1,Human Relations,"Achirri, K",M W F 12:00PM-1:05PM,30/22/0,30,22,0,OM 100,2023-24,FA,1
ED 214 01,ED,214,1,Intro Mild & Moderate Disabilities,"Dickey, J",T H 1:00PM-2:40PM,25/11/0,25,11,0,OM 100,2023-24,FA,1
ED 215 01,ED,215,1,Psychology of the Exceptional Child,"Dickey, J",T H 7:45AM-9:25AM,25/6/0,25,6,0,OM 100,2023-24,FA,1
ED 215 02,ED,215,2,Psychology of the Exceptional Child,"Dickey, J",T H 9:35AM-11:15AM,25/19/0,25,19,0,OM 100,2023-24,FA,1
ED 223 01,ED,223,1,Language Development,"Achirri, K",T H 1:00PM-2:40PM,25/15/0,25,15,0,OM 101,2023-24,FA,1
ED 230 01,ED,230,1,Teaching in the Secondary School,"Snyder, R",T H 9:35AM-11:15AM,25/21/0,25,21,0,CLNA 127,2023-24,FA,1
ED 282 01,ED,282,1,Fld Exp:Teaching in the Sec School,"Snyder, R",,25/21/0,25,21,0,,2023-24,FA,0
ED 284 01,ED,284,1,Field Exp: Mild & Mod Disabilies,"Dickey, J",,25/10/0,25,10,0,,2023-24,FA,0
ED 315 01,ED,315,1,Educational Psychology,"Snyder, R",M W F 7:45AM-8:50AM,25/14/0,25,14,0,OM 101,2023-24,FA,1
ED 321 01,ED,321,1,Reading in the Elementary School,"Sloan, K",M W F 9:00AM-10:05AM,25/13/0,25,13,0,OM 100,2023-24,FA,1
ED 350 01,ED,350,1,Content Area Reading Strategies,"Sloan, K",TH 7:45AM-9:25AM,25/22/0,25,22,0,OM 200,2023-24,FA,1
ED 356 01,ED,356,1,Curr Dev & Guid of Young Children,"Moeller, S",M W F 9:00AM-10:05AM,25/9/0,25,9,0,OM 101,2023-24,FA,1
ED 361 01,ED,361,1,Middle School Curriculum,"Snyder, R",M 6:30PM-9:30PM,30/5/0,30,5,0,OM 100,2023-24,FA,1
ED 365 01,ED,365,1,Transitioning and Exceptionalities,"Tutu, I",T 6:30PM-9:30PM,25/4/0,25,4,0,OM 200,2023-24,FA,1
